Rokka no Yuusha
Rokudenashi Majutsu Koushi to Akashic Records
Sakamoto desu ga?
Shigatsu wa Kimi no Uso
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita"
SSSS.DYNAZENON
SSSS.GRIDMAN
Sword Art Online
Sword Art Online Alternative: Gun Gale Online
Sword Art Online II
Sword Art Online: Alicization
Sword Art Online: Alicization - War of Underworld
Sword Art Online: Alicization - War of Underworld Part 2
takt op.Destiny
Tate no Yuusha no Nariagari
Tensei Shitara Slime Datta Ken
THE GOD OF HIGH SCHOOL
Tokyo Ghoul
Tonikaku Kawaii
Trinity Seven
Vivy: Fluorite Eye’s Song
Yahari Ore no Seishun Love Come wa Machigatteiru.
Yosuga no Sora
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Hibike! Euphonium
Hibike! Euphonium 2
Sora yori mo Tooi Basho
Fate/kaleid liner Prisma☆Illya 2wei!
Flip Flappers
Kuro no Shoukanshi
Assault Lily: BOUQUET
selector infected WIXOSS
selector spread WIXOSS
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season
DEATH NOTE
FAIRY TAIL
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2"
Kaguya-sama wa Kokurasetai: Ultra Romantic
Kawaii dake ja Nai Shikimori-san
Kekkai Sensen
Log Horizon
"Ore, Twintail ni Narimasu."
Persona 5 the Animation
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Sono Bisque Doll wa Koi wo Suru
SPY×FAMILY
Steins;Gate
Tengen Toppa Gurren Lagann
Wonder Egg Priority
Saenai Heroine no Sodatekata
Lycoris Recoil
"Kanojo, Okarishimasu 2nd Season"
Renmei Kuugun Koukuu Mahou Ongakutai: Luminous Witches
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season
Engage Kiss
Prima Doll
AKIRA
Boku no Hero Academia THE MOVIE: Heroes:Rising
Brave Story
Chuunibyou demo Koi ga Shitai!: Take On Me
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Wandering; Agateram
Fate/stay night [Heaven's Feel] I. presage flower
Fate/stay night [Heaven's Feel] II. lost butterfly
Fate/stay night [Heaven's Feel] III. spring song
Fate/Zero Cafe
Glass no Hana to Kowasu Sekai
HELLO WORLD
Kimi no Na wa.
Koe no Katachi
Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu
No Game No Life Zero
Promare
Summer Wars
Sword Art Online: Ordinal Scale
Sword Art Online: Progressive - Hoshinaki Yoru no Aria
Liz to Aoi Tori
Hibike! Euphonium: Chikai no Finale
Ashita Sekai ga Owaru toshitemo
Nerawareta Gakuen
Hotarubi no Mori e
selector destructed WIXOSS
Go-toubun no Hanayome Movie
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!
Chuunibyou demo Koi ga Shitai!: Kirameki no… Slapstick Noel
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA
Re:Zero kara Hajimeru Isekai Seikatsu OVA
Tonikaku Kawaii: SNS
Fate/Grand Order: First Order
Sword Art Online: Extra Edition
Fate/kaleid liner Prisma☆Illya 2wei Herz!
IS: Infinite Stratos 2
K-ON!!
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
Suzumiya Haruhi no Yuuutsu
